,model,gene_id,locus,alleles,markerID,annotation,n_cases,n_controls,heritability,trait_type,phenocode,pheno_sex,coding,n_cases_defined,n_cases_both_sexes,n_cases_females,n_cases_males,description,description_more,coding_description,category,AC,AF,BETA,SE,AF.Cases,AF.Controls,Pvalue,AC_calstat,AF_calstat
289,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,299759,,0.0,3,30790,1,,372237,375654,202356,169881,Lipoprotein A,Measured by immunoturbidimetric analysis on a Randox AU5800. Values for Lipoprotein A that were outside the reportable range are available on request.,,81.0,4,6.6723e-06,0.68765,0.49481,,,0.16462,5.0,6.331919204710948e-06
290,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,344440,,0.0,3,30810,1,,425310,429274,228800,196510,Phosphate,Measured by phophomolybdate complex analysis on a Beckman Coulter AU5800,,81.0,4,5.8067e-06,0.14187,0.47297,,,0.76421,5.0,6.331919204710948e-06
291,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,341779,,0.0,3,30830,1,,422019,425869,226657,195362,SHBG,Measured by two step sandwich immunoassay analysis on a Beckman Coulter Unicel Dxl 800,,81.0,4,5.852e-06,0.11644,0.42642,,,0.78481,5.0,6.331919204710948e-06
292,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,375237,,0.14447,3,30840,1,,463380,467586,251162,212218,Total bilirubin,Measured by photometric colour analysis on a Beckman Coulter AU5800,,81.0,4,5.3302e-06,-0.38295,0.443,,,0.38735,5.0,6.331919204710948e-06
293,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,341317,,0.0,3,30850,1,,421452,425232,210398,211054,Testosterone,Measured by one step competitive analysis on a Beckman Coulter Unicel Dxl 800,,81.0,4,5.8599e-06,0.67659,0.29733,,,0.022872,5.0,6.331919204710948e-06
294,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,344688,,0.0,3,30860,1,,425665,429627,229023,196642,Total protein,Measured by biuret analysis on a Beckman Coulter AU5800,,81.0,4,5.8026e-06,-0.11215,0.48126,,,0.81574,5.0,6.331919204710948e-06
295,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,376509,,0.0,3,30870,1,,464971,469240,252065,212906,Triglycerides,Measured by GPO-POD analysis on a Beckman Coulter AU5800,,81.0,4,5.3122e-06,-0.26845,0.46592,,,0.5645,5.0,6.331919204710948e-06
296,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,376357,,0.0,3,30880,1,,464783,469051,251893,212890,Urate,Measured by uricase PAP analysis on a Beckman Coulter AU5800,,81.0,4,5.3143e-06,-0.16916,0.41319,,,0.68224,5.0,6.331919204710948e-06
297,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,360290,,0.0,3,30890,1,,444324,448376,237868,206456,Vitamin D,Measured by CLIA analysis on a DiaSorin Ltd. LIASON XL,,81.0,4,5.5513e-06,0.5606,0.48195,,,0.24475,5.0,6.331919204710948e-06
298,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,234028,,0.0,3,3526,1,,284433,292513,153727,130706,Mother's age at death,"ACE touchscreen question ""What was her age when she died?"" The following checks were performed:  If answer   If answer > 122 then rejected  If answer   If answer > 105 then participant asked to confirm   ~F3526~ was collected from participants who indicated their mother has died, as defined by their answers to ~F1835~ or, if they are adopted, their adopted mother has died, as defined by their answers to ~F1835~",,5.0,5,1.0683e-05,0.037111,0.42343,,,0.93016,5.0,6.331919204710948e-06
299,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,75362,,0.0,3,3536,1,,90366,93226,90277,89,Age started hormone-replacement therapy (HRT),"ACE touchscreen question ""How old were you when you first used HRT?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 65 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are unsure, please provide an estimate or select Do not know.      ~F3536~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~",,94.0,1,6.6352e-06,-0.11304,0.92966,,,0.90322,5.0,6.331919204710948e-06
300,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,62787,,0.0,3,3546,1,,74976,77328,74946,30,Age last used hormone-replacement therapy (HRT),"ACE touchscreen question ""How old were you when you last used HRT?"" The following checks were performed:  If answer   If answer > Participants age then rejected  If answer   If answer > 65 then participant asked to confirm   If the participant activated the Help button they were shown the message:     If you are currently using HRT select Still taking HRT. If you are unsure, please provide an estimate or select Do not know.      ~F3546~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~",,94.0,1,7.9639e-06,0.49899,0.82941,,,0.54742,5.0,6.331919204710948e-06
301,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,372555,,0.0,3,4079,1,,461058,472416,249810,211248,"Diastolic blood pressure, automated reading","Blood pressure, automated reading, diastolic. Two measures of blood pressure were taken a few moments apart.  Range returned by the Omron device is is 0-255",,109.0,5,6.7107e-06,-0.081924,0.42997,,,0.84889,5.0,6.331919204710948e-06
302,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,372551,,0.0,3,4080,1,,461053,472411,249807,211246,"Systolic blood pressure, automated reading","Blood pressure, automated reading, systolic. Two measures of blood pressure were taken a few moments apart.   Range returned by the Omron device is is 0-255",,109.0,5,6.7108e-06,-0.2337,0.40607,,,0.56495,5.0,6.331919204710948e-06
303,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,125375,,0.057099,3,4105,1,,159440,164106,86596,72844,Heel bone mineral density (BMD) (left),Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.,,46.0,1,3.9881e-06,-0.84284,0.93476,,,0.36724,5.0,6.331919204710948e-06
304,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,125447,,0.057044,3,4106,1,,159540,164208,86610,72930,"Heel bone mineral density (BMD) T-score, automated (left)",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,,46.0,1,3.9858e-06,-0.83194,0.93527,,,0.37373,5.0,6.331919204710948e-06
305,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,125334,,0.056903,3,4124,1,,159426,164100,86587,72839,Heel bone mineral density (BMD) (right),Estimation of bone mineral density (BMD) in the left heel is based on the Quantitative Ultrasound Index through the calcaneus. Direct entry.,,46.0,1,3.9894e-06,-0.41276,0.92961,,,0.65703,5.0,6.331919204710948e-06
306,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,125403,,0.057123,3,4125,1,,159539,164216,86608,72931,"Heel bone mineral density (BMD) T-score, automated (right)",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,,46.0,1,3.9872e-06,-0.39324,0.92971,,,0.67231,5.0,6.331919204710948e-06
307,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,129986,,0.02726,3,4194,1,,165600,170759,89216,76384,Pulse rate,Pulse rate during arterial stiffness measurement,,118.0,1,3.8467e-06,-0.53074,0.99048,,,0.59207,5.0,6.331919204710948e-06
308,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,129986,,0.0,3,4195,1,,165600,170759,89216,76384,Pulse wave reflection index,reflection index is a measure of reflection A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. if 'b' is the height of direct wave peak and 'a' is the height of reflected wave peak the reflected index = (a/b) * 100%,,118.0,1,3.8467e-06,-0.30953,0.94439,,,0.7431,5.0,6.331919204710948e-06
309,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,129917,,0.0,3,4196,1,,165506,170663,89176,76330,Pulse wave peak to peak time,peak to peak time in milliseconds A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. peak to peak time is the difference between the peak values of direct and reflected components.,,118.0,1,3.8487e-06,0.58146,0.96325,,,0.54608,5.0,6.331919204710948e-06
310,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,129986,,0.0,3,4199,1,,165600,170759,89216,76384,Position of pulse wave notch,position of the notch A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. This is the time when when notch occurs in the waveform.,,118.0,1,3.8467e-06,-0.90691,0.97605,,,0.3528,5.0,6.331919204710948e-06
311,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,129986,,0.0,3,4200,1,,165600,170759,89216,76384,Position of the shoulder on the pulse waveform,position of the shoulder on the waveform A digital volume pulse can be considered to be the summation of a direct and a reflected component. The direct component is due to transmission of a pressure wave from the left ventricle to the finger via the most direct route. The reflected component is formed by pressure transmitted from the heart to the lower body where it is reflected back up the aorta and thence to the finger. This field is the time of the shoulder like curve in the waveform.,,118.0,1,3.8467e-06,-0.98877,0.95249,,,0.29922,5.0,6.331919204710948e-06
312,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393208,,0.0,3,46,1,,486004,499126,263455,222549,Hand grip strength (left),Left grip strength,,96.0,5,6.3582e-06,-0.16454,0.30379,,,0.58809,5.0,6.331919204710948e-06
313,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393230,,0.0,3,47,1,,486074,499193,263522,222552,Hand grip strength (right),Right grip strength,,96.0,5,6.3579e-06,-0.0058511,0.30405,,,0.98465,5.0,6.331919204710948e-06
314,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,394166,,0.0,3,48,1,,487214,500376,264224,222990,Waist circumference,Waist circumference,,89.0,5,6.3428e-06,-0.61604,0.38514,,,0.10971,5.0,6.331919204710948e-06
315,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,128983,,0.0,3,4803,1,,163089,168303,88400,74689,Tinnitus,"ACE touchscreen question ""Do you get or have you had noises (such as ringing or buzzing) in your head or in one or both ears that lasts for more than  five minutes at a time?"" ~F4803~ was collected from all participants except those who indicated they were completely deaf, as defined by their answers to ~F2247~",,36.0,1,3.8766e-06,3.1207,1.1474,,,0.0065336,5.0,6.331919204710948e-06
316,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,394124,,0.0,3,49,1,,487159,500317,264208,222951,Hip circumference,Hip circumference,,89.0,5,6.3434e-06,-0.57499,0.43307,,,0.18428,5.0,6.331919204710948e-06
317,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393982,,0.0,3,50,1,,486842,499997,264153,222689,Standing height,Standing height was measured using a Seca 202 device,,89.0,5,6.3457e-06,0.1105,0.29385,,,0.70689,5.0,6.331919204710948e-06
318,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393937,,0.0,3,51,1,,486411,496254,263915,222496,Seated height,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",,89.0,5,6.3465e-06,-0.25393,0.33322,,,0.44603,5.0,6.331919204710948e-06
319,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,394656,,0.0,3,630,1,,487776,501683,264538,223238,Touchscreen duration,,,113.0,5,6.3349e-06,-0.51178,0.39845,,,0.19899,5.0,6.331919204710948e-06
320,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,227021,,0.053378,3,78,1,,274989,279104,149240,125749,"Heel bone mineral density (BMD) T-score, automated",This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard.,,46.0,3,6.6077e-06,-0.41912,0.54423,,,0.44124,5.0,6.331919204710948e-06
321,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,387704,,0.0,3,AFFMIadjBMI_custom,1,,479028,491883,260153,218875,Appendicular fat free mass index adjusted for body mass index (AFFMIadjBMI),Appendicular fat free mass index is constructed by summing left and right arm fat free mass and left and right leg fat free mass and dividing by height squared.,,62.0,5,6.4485e-06,-0.12431,0.25104,,,0.62049,5.0,6.331919204710948e-06
322,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,210019,,0.051838,3,AFFMIadjBMI_female_custom,0,,260064,268071,259928,136,Appendicular fat free mass index adjusted for body mass index (AFFMIadjBMI) female,Appendicular fat free mass index is constructed by summing left and right arm fat free mass and left and right leg fat free mass and dividing by height squared.,,62.0,2,4.7617e-06,0.30709,0.67115,,,0.64728,5.0,6.331919204710948e-06
323,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,177683,,0.0,3,AFFMIadjBMI_male_custom,2,,218964,223812,225,218739,Appendicular fat free mass index adjusted for body mass index (AFFMIadjBMI) male,Appendicular fat free mass index is constructed by summing left and right arm fat free mass and left and right leg fat free mass and dividing by height squared.,,62.0,3,8.4422e-06,-0.28543,0.47999,,,0.55208,5.0,6.331919204710948e-06
324,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,387669,,0.0,3,BFPadjBMI_custom,1,,478991,491844,260272,218719,Body fat percentage adjusted for body mass index (BFPadjBMI),Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.,,62.0,5,6.4491e-06,-0.027711,0.26518,,,0.91677,5.0,6.331919204710948e-06
325,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,210117,,0.047604,3,BFPadjBMI_female_custom,0,,260183,268194,260047,136,Body fat percentage adjusted for body mass index (BFPadjBMI) female,Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.,,62.0,2,4.7595e-06,0.01672,0.67885,,,0.98035,5.0,6.331919204710948e-06
326,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,177550,,0.049947,3,BFPadjBMI_male_custom,2,,218808,223650,225,218583,Body fat percentage adjusted for body mass index (BFPadjBMI) male,Body composition estimation by impedance measurement. Body fat percentage Body fat percentage. Range 1% - 75% in 0.1% increments.,,62.0,3,8.4486e-06,-0.049469,0.53891,,,0.92686,5.0,6.331919204710948e-06
327,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,382170,,0.0,3,BMDadjBMI_custom,1,,469872,479154,257420,212452,Heel bone mineral density adjusted for body mass index (BMDadjBMI),"""Bone mineral density is constructed using method in Kemp et al Nat Genet 2017 49,1468-1475.""",,46.0,5,6.5419e-06,-0.62186,0.41611,,,0.13506,5.0,6.331919204710948e-06
328,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,382170,,0.0,3,BMDadjHtWt_custom,1,,469872,479154,257420,212452,Heel bone mineral density adjusted for height and weight (BMDadjHtWt),"""Bone mineral density is constructed using method in Kemp et al Nat Genet 2017 49,1468-1475.""",,46.0,5,6.5419e-06,-0.65234,0.42388,,,0.12381,5.0,6.331919204710948e-06
329,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393562,,0.0,3,BMI_custom,1,,486282,499399,263845,222437,Body mass index (BMI),BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.,,89.0,5,6.3525e-06,-0.67614,0.43032,,,0.11612,5.0,6.331919204710948e-06
330,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,212969,,0.040489,3,BMI_female_custom,0,,263756,271924,263617,139,Body mass index (BMI) female,BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.,,89.0,2,4.6958e-06,0.022018,0.6903,,,0.97456,5.0,6.331919204710948e-06
331,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,180591,,0.040849,3,BMI_male_custom,2,,222526,227475,228,222298,Body mass index (BMI) male,BMI value here is constructed from height and weight measured during the initial Assessment Centre visit. Value is not present if either of these readings were omitted.,,89.0,3,8.3063e-06,-1.2794,0.56876,,,0.024485,5.0,6.331919204710948e-06
332,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,372325,,0.0,3,Depressive_symptoms_custom,1,,456784,469536,246676,210108,,,,,5,6.7149e-06,-0.4932,0.47698,,,0.30113,5.0,6.331919204710948e-06
333,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,387569,,0.0,3,FFMIadjBMI_custom,1,,478858,491710,260069,218789,Fat free mass index adjusted for body mass index (FFMIadjBMI),"""Fat free mass index is constructed by summing left and right arm fat free mass, left and right leg fat free mass and trunk fat free mass and dividing by height squared.""",,62.0,5,6.4507e-06,-0.16841,0.26018,,,0.51744,5.0,6.331919204710948e-06
334,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,209946,,0.056982,3,FFMIadjBMI_female_custom,0,,259980,267984,259844,136,Fat free mass index adjusted for body mass index (FFMIadjBMI) female,"""Fat free mass index is constructed by summing left and right arm fat free mass, left and right leg fat free mass and trunk fat free mass and dividing by height squared.""",,62.0,2,4.7634e-06,0.0076304,0.67938,,,0.99104,5.0,6.331919204710948e-06
335,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,177621,,0.053664,3,FFMIadjBMI_male_custom,2,,218878,223726,225,218653,Fat free mass index adjusted for body mass index (FFMIadjBMI) male,"""Fat free mass index is constructed by summing left and right arm fat free mass, left and right leg fat free mass and trunk fat free mass and dividing by height squared.""",,62.0,3,8.4452e-06,-0.27756,0.53929,,,0.60678,5.0,6.331919204710948e-06
336,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,100900,,0.025243,3,Fluid_intelligence_score_custom,1,,121228,123646,67646,53582,,,,,2,9.9112e-06,0.16776,1.4034,,,0.90485,5.0,6.331919204710948e-06
337,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393490,,0.0,3,HCadjBMI_custom,1,,486191,499300,263791,222400,Hip circumference adjusted for body mass index (HCadjBMI),Hip circumference adjusted for body mass index,,89.0,5,6.3537e-06,0.067422,0.4285,,,0.87497,5.0,6.331919204710948e-06
338,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,212928,,0.046885,3,HCadjBMI_female_custom,0,,263702,271866,263563,139,Hip circumference adjusted for body mass index (HCadjBMI) female,Hip circumference adjusted for body mass index,,89.0,2,4.6967e-06,0.43953,0.68745,,,0.52259,5.0,6.331919204710948e-06
339,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,180560,,0.046792,3,HCadjBMI_male_custom,2,,222489,227434,228,222261,Hip circumference adjusted for body mass index (HCadjBMI) male,Hip circumference adjusted for body mass index,,89.0,3,8.3077e-06,-0.41193,0.5651,,,0.46603,5.0,6.331919204710948e-06
340,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,392236,,0.0,3,HGSadjHtWt_custom,1,,484264,497276,262661,221603,Hand grip strength adjusted for height and weight (HGSadjHtWt),Hand grip strength is constructed by using the hand grip strength from the dominant hand.,,,5,6.374e-06,-0.088691,0.40782,,,0.82784,5.0,6.331919204710948e-06
341,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,212171,,0.0,3,HGSadjHtWt_female_custom,0,,262574,270675,262435,139,Hand grip strength adjusted for height and weight (HGSadjHtWt) female,Hand grip strength is constructed by using the hand grip strength from the dominant hand.,,,2,4.7134e-06,0.18369,0.66599,,,0.7827,5.0,6.331919204710948e-06
342,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,180063,,0.0,3,HGSadjHtWt_male_custom,2,,221690,226601,226,221464,Hand grip strength adjusted for height and weight (HGSadjHtWt) male,Hand grip strength is constructed by using the hand grip strength from the dominant hand.,,,3,8.3306e-06,-0.19568,0.54893,,,0.72148,5.0,6.331919204710948e-06
343,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,320034,,0.0,3,Met_minutes_all,1,,394094,402380,205770,188324,Metabolic Equivalent Task (MET) minutes per week for all activity.,This category contains derived MET (Metabolic Equivalent Task) scores data based on IPAQ (International Physical Activity Questionnaire) guidelines.,,78.0,5,7.812e-06,-0.099035,0.44363,,,0.82335,5.0,6.331919204710948e-06
344,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,320034,,0.0,3,Met_minutes_moderate,1,,394094,402380,205770,188324,Metabolic Equivalent Task (MET) minutes per week for moderate activity.,This category contains derived MET (Metabolic Equivalent Task) scores data based on IPAQ (International Physical Activity Questionnaire) guidelines.,,78.0,5,7.812e-06,-0.084544,0.4437,,,0.84888,5.0,6.331919204710948e-06
345,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,320034,,0.0,3,Met_minutes_vigorous,1,,394094,402380,205770,188324,Metabolic Equivalent Task (MET) minutes per week for vigorous activity.,This category contains derived MET (Metabolic Equivalent Task) scores data based on IPAQ (International Physical Activity Questionnaire) guidelines.,,78.0,5,7.812e-06,0.50149,0.44161,,,0.25613,5.0,6.331919204710948e-06
346,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,320034,,0.0,3,Met_minutes_walking,1,,394094,402380,205770,188324,Metabolic Equivalent Task (MET) minutes per week for walking.,This category contains derived MET (Metabolic Equivalent Task) scores data based on IPAQ (International Physical Activity Questionnaire) guidelines.,,78.0,5,7.812e-06,-0.28077,0.44453,,,0.52764,5.0,6.331919204710948e-06
347,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,394476,,0.011097,3,Touchscreen_duration_custom,1,,487020,500891,264180,222840,,,,,5,6.3378e-06,-3549.6,3467.7,,,0.30602,5.0,6.331919204710948e-06
348,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,387859,,0.0,3,WBFFMadjBMI_custom,1,,479215,492073,260273,218942,Whole body fat free mass adjusted for body mass index (WBFFMadjBMI),"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,5,6.4459e-06,-0.040861,0.24904,,,0.86967,5.0,6.331919204710948e-06
349,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,210118,,0.080048,3,WBFFMadjBMI_female_custom,0,,260184,268195,260048,136,Whole body fat free mass adjusted for body mass index (WBFFMadjBMI) female,"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,2,4.7595e-06,0.84894,0.64354,,,0.18711,5.0,6.331919204710948e-06
350,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,177739,,0.087294,3,WBFFMadjBMI_male_custom,2,,219031,223878,225,218806,Whole body fat free mass adjusted for body mass index (WBFFMadjBMI) male,"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,3,8.4396e-06,-0.36996,0.52585,,,0.48172,5.0,6.331919204710948e-06
351,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,387945,,0.0,3,WBfatfreemass_custom,1,,479461,492328,260336,219125,Whole body fat free mass,"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,5,6.4445e-06,-0.15584,0.26645,,,0.55863,5.0,6.331919204710948e-06
352,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,210155,,0.057245,3,WBfatfreemass_female_custom,0,,260247,268262,260111,136,Whole body fat free mass female,"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,2,4.7586e-06,0.70882,0.67148,,,0.29114,5.0,6.331919204710948e-06
353,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,177788,,0.064287,3,WBfatfreemass_male_custom,2,,219214,224066,225,218989,Whole body fat free mass male,"""Body composition estimation by impedance measurement. Fat free mass Total fat free mass in Kg, in 0.1Kg increments.""",,62.0,3,8.4373e-06,-1.0792,0.54406,,,0.047309,5.0,6.331919204710948e-06
354,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,393484,,0.0,3,WCadjBMI_custom,1,,486184,499293,263785,222399,Waist circumference adjusted for body mass index (WCadjBMI),Waist circumference adjusted for body mass index,,89.0,5,6.3538e-06,-0.23027,0.32438,,,0.47777,5.0,6.331919204710948e-06
355,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,212925,,0.040824,3,WCadjBMI_female_custom,0,,263696,271860,263557,139,Waist circumference adjusted for body mass index (WCadjBMI) female,Waist circumference adjusted for body mass index,,89.0,2,4.6967e-06,0.5642,0.69048,,,0.41387,5.0,6.331919204710948e-06
356,drug.GenebassVariant,ENSG00000189409,chr1:1632219,"[""A"",""G""]",chr1:1632219_A/G,0,180557,,0.038498,3,WCadjBMI_male_custom,2,,222488,227433,228,222260,Waist circumference adjusted for body mass index (WCadjBMI) male,Waist circumference adjusted for body mass index,,89.0,3,8.3079e-06,-0.81553,0.55781,,,0.14373,5.0,6.331919204710948e-06
